ID,Active_surfacing,Porpoise,Leap,Humping_surface,Regular_dive,Peduncle_dive,Tail_out_dive,Fast_swim,Sharking,Backward_slap,Head_slap,Side_slap,Tail_slap,Underwater_tail-slap,Rooster_tailing,Horizontal_circle,Pinwheeling,Side_swim,Vertical_position,Side_roll,Spy-hop,Eye-out,Carousel,Fish_toss,Macrophyte-carrying,Courtship,Bubble-blow,Cast_net
1,0.260938771,0,0,0,0.913285698,0.260938771,0,0.130469385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06523469268
2,0.470646066,0,0,0,3.137640442,0.784410111,0,0.156882022,0,0,0,0,0,0,4,0.313764044,0,0,0,0,0,0,0,0,0,0,0,0.1961025276
3,0,0,0,0,1.741093581,0.348218716,0,0,1.392874865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1741093581
4,0,0,0,0,1.299793412,0.118163037,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.275713754
5,0.253337725,0,0.380006587,0.126668862,1.900032934,0.253337725,0,0.380006587,0,1,0,0,0,0,0,0.126668862,0,0,0,0,0,0,0,0,1,0,0,0.07600131736
6,0.237110102,0,0,0,2.845321225,0.474220204,0,0.474220204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.07903670069
7,0.247863213,0,0,0.371794819,2.478632126,0.619658031,0,0.247863213,0,0,0,0,2,0.123931606,1,0,0,0,0,0,0,0,0,0,2,0,0,0.04957264251
8,0.34528797,0,0,0.34528797,2.244371806,0.863219925,0,0.172643985,0.69057594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.05754799503
9,0.532150776,0,0,0.177383592,0.709534368,0.177383592,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.177383592
10,0.18195989,0,0,0,0.72783956,0.72783956,0,0,0,0,0,0,0,0.18195989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07278395599
11,0,0,0.141459056,0,1.131672447,0.565836223,0,0.282918112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09430603724
12,0,0,0.201816347,0,0.807265388,0.201816347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2690884628
